Scrape version,scrape_phase,creator_username,niche,post_id,post_url,post_type,posted_at,scraped_at,caption,hashtags,hashtag_count,views,likes,comments_count,shares,scrape_mode,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DUS4cYjiL9C,https://www.instagram.com/Ashwiniisharmaa/reel/DUS4cYjiL9C/,reel,1d,2026-02-04T00:00:00+05:30,Bad mood? Beat your face. Fixed... more,,0,null,163,22,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DUFcArHCOqS,https://www.instagram.com/Ashwiniisharmaa/reel/DUFcArHCOqS/,reel,4d,2026-02-04T00:00:00+05:30,Dearest gentle readers ✨... more,,0,null,351,67,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DUDjAWOCJUV,https://www.instagram.com/Ashwiniisharmaa/reel/DUDjAWOCJUV/,reel,5d,2026-02-04T00:00:00+05:30,"Soft girl blush, but make it affordable... more",,0,null,228,37,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DUA8b0FCE2N,https://www.instagram.com/Ashwiniisharmaa/reel/DUA8b0FCE2N/,reel,1w,2026-02-04T00:00:00+05:30,"Desi comfort, everyday style ❤️... more",,0,null,423,161,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DTxiedyCApq,https://www.instagram.com/Ashwiniisharmaa/reel/DTxiedyCApq/,reel,1w,2026-02-04T00:00:00+05:30,"Soft girl blush, but make it high-end... more",,0,null,1.5K,109,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DTuRr7-COG0,https://www.instagram.com/Ashwiniisharmaa/reel/DTuRr7-COG0/,reel,2w,2026-02-04T00:00:00+05:30,I've had acne for more than 10 years and I've tried several products that claim to reduce acne in 60 minutes... more,,0,null,137,24,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DTrpGncCIfq,https://www.instagram.com/Ashwiniisharmaa/reel/DTrpGncCIfq/,reel,2w,2026-02-04T00:00:00+05:30,"Full face of makeup inspired by glam, created using Nina Park makeup techniques with only affordable products",,0,null,483,36,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DTkwkXriErU,https://www.instagram.com/Ashwiniisharmaa/reel/DTkwkXriErU/,reel,Jan-16,2026-02-04T00:00:00+05:30,Lip combo on the go cause this lush life keeps me rushing 💄✨ Comment for lip deets 🔗 #lipcombo #onthego #creatorlife #lipstick #makeupvideos,#lipcombo #onthego #creatorlife #lipstick #makeupvideos,5,null,294,116,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DTc1NSpiL5I,https://www.instagram.com/Ashwiniisharmaa/reel/DTc1NSpiL5I/,reel,Jan-13,2026-02-04T00:00:00+05:30,Recreated Alia Bhatt's glam makeup look using only affordable drugstore products ✨💄 #aliabhatt #bollywoodglam #makeuptutorial #affordablemakeup #celebritymakeup,#aliabhatt #bollywoodglam #makeuptutorial #affordablemakeup #celebritymakeup,5,null,6.5K,812,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DTXsxXWiOSe,https://www.instagram.com/Ashwiniisharmaa/reel/DTXsxXWiOSe/,reel,Jan-11,2026-02-04T00:00:00+05:30,"Obsessed with this Nina Park inspired lip combo 😍 Soft, full, naturally blurred lips then subtly redefined with a cool-toned liner. #ninapark #lipcombo #makeuptutorial #softglam #trendingmakeup",#ninapark #lipcombo #makeuptutorial #softglam #trendingmakeup,5,null,4.3K,554,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DTVGsh8iIE9,https://www.instagram.com/Ashwiniisharmaa/reel/DTVGsh8iIE9/,reel,Jan-10,2026-02-04T00:00:00+05:30,Tried the new non-transfer gloss up lipstick by @insightcosmetic and I'm OBSESSED 😍 #insightcosmetics #glossylips #lipsticklove #lipstick,#insightcosmetics #glossylips #lipsticklove #lipstick,4,null,276,63,null,visible_ui_only,,,,,,,,,,,,,,,,
